package_name,category,subcategory,framework,ecosystem
Ergo,Application Development,Web Frameworks,Ergo,go
Goakt,Application Development,Web Frameworks,Goakt,go
Hollywood,Developer Tooling,Local Development Runtimes,Hollywood,go
ProtoActor,Application Development,Component Models,ProtoActor,go
chromem,Utility Libraries,General Utilities,Chromem,go
fun,Utility Libraries,General Utilities,Fun,go
langchaingo,Application Development,Web Frameworks,Langchaingo,go
LocalAI,Application Development,Web Frameworks,LocalAI,go
Ollama,Application Development,Web Frameworks,Ollama,go
OllamaFarm,Application Development,Web Frameworks,OllamaFarm,go
flac,Utility Libraries,General Utilities,Flac,go
gaad,Utility Libraries,General Utilities,Gaad,go
GoAudio,Utility Libraries,General Utilities,GoAudio,go
gosamplerate,Utility Libraries,General Utilities,Gosamplerate,go
id3v2,Utility Libraries,General Utilities,Id3v2,go
malgo,Utility Libraries,General Utilities,Malgo,go
minimp3,Utility Libraries,General Utilities,Minimp3,go
Oto,Utility Libraries,General Utilities,Oto,go
PortAudio,Utility Libraries,General Utilities,PortAudio,go
authboss,Security,Authentication & Authorization,Authboss,go
branca,Security,Identity & Access Management,Branca,go
casbin,Security,Access Control,Casbin,go
cookiestxt,Utility Libraries,General Utilities,Cookiestxt,go
go,Developer Tooling,Local Development Runtimes,Go,go
goiabada,Utility Libraries,General Utilities,Goiabada,go
gologin,Utility Libraries,General Utilities,Gologin,go
gorbac,Security,Access Control,Gorbac,go
gosession,Utility Libraries,General Utilities,Gosession,go
goth,Security,Authentication & Authorization,Goth,go
jeff,Utility Libraries,General Utilities,Jeff,go
jwt,Security,Authentication & Authorization,Jwt,go
jwx,Security,Authentication & Authorization,Jwx,go
keto,Security,Access Control,Keto,go
loginsrv,Security,Authentication & Authorization,Loginsrv,go
oauth2,Security,Authentication & Authorization,Oauth2,go
oidc,Security,Identity & Access Management,Oidc,go
openfga,Security,Access Control,Openfga,go
osin,Security,Authentication & Authorization,Osin,go
otpgen,Security,Authentication & Authorization,Otpgen,go
otpgo,Security,Authentication & Authorization,Otpgo,go
paseto,Security,Authentication & Authorization,Paseto,go
permissions,Security,Access Control,Permissions,go
scope,Security,Access Control,Scope,go
scs,Security,Authentication & Authorization,Scs,go
securecookie,Security,Transport Security,Securecookie,go
session,Utility Libraries,General Utilities,Session,go
sessions,Utility Libraries,General Utilities,Sessions,go
sessionup,Developer Tooling,Local Development Runtimes,Sessionup,go
sjwt,Security,Authentication & Authorization,Sjwt,go
cometbft,Deployment & Runtime Platforms,Cloud Platforms,Cometbft,go
cosmos,Application Integration,Service Integration Frameworks,Cosmos,go
gno,Application Development,Web Frameworks,Gno,go
gosemble,Developer Tooling,Code Generators,Gosemble,go
gossamer,Networking,Service Mesh,Gossamer,go
kubo,Deployment & Runtime Platforms,Cloud Platforms,Kubo,go
lnd,Application Integration,Remote Procedure Calls,Lnd,go
solana,Application Integration,Service Integration Frameworks,Solana,go
tendermint,Deployment & Runtime Platforms,Cloud Platforms,Tendermint,go
arikawa,Application Integration,Messaging Protocols,Arikawa,go
bot,Utility Libraries,General Utilities,Bot,go
echotron,Utility Libraries,General Utilities,Echotron,go
micha,Utility Libraries,General Utilities,Micha,go
slack,Application Integration,Messaging Protocols,Slack,go
slacker,Application Integration,Messaging Protocols,Slacker,go
telebot,Application Integration,Messaging Protocols,Telebot,go
telego,Application Integration,Messaging Protocols,Telego,go
telegram,Application Integration,Messaging Protocols,Telegram,go
wayback,Utility Libraries,General Utilities,Wayback,go
1build,Developer Tooling,Build Tools,1build,go
air,Developer Tooling,Local Development Runtimes,Air,go
anko,Developer Tooling,Code Generators,Anko,go
gaper,Utility Libraries,General Utilities,Gaper,go
gilbert,Utility Libraries,General Utilities,Gilbert,go
gob,Developer Tooling,Build Tools,Gob,go
goyek,Developer Tooling,Local Development Runtimes,Goyek,go
mage,Developer Tooling,Build Tools,Mage,go
mmake,Developer Tooling,Build Tools,Mmake,go
realize,Developer Tooling,Build Tools,Realize,go
Task,Developer Tooling,Build Tools,Task,go
taskctl,Developer Tooling,Build Tools,Taskctl,go
xc,Developer Tooling,Build Tools,Xc,go
asciigraph,Utility Libraries,General Utilities,Asciigraph,go
aurora,Utility Libraries,General Utilities,Aurora,go
box,Utility Libraries,General Utilities,Box,go
bubble,Application Development,Web Frameworks,Bubble,go
bubbles,Application Development,Component Models,Bubbles,go
bubbletea,Application Development,Component Models,Bubbletea,go
cfmt,Developer Tooling,Build Tools,Cfmt,go
chalk,Utility Libraries,General Utilities,Chalk,go
crab,Utility Libraries,General Utilities,Crab,go
ctc,Utility Libraries,General Utilities,Ctc,go
fx,Developer Tooling,Local Development Runtimes,Fx,go
gocui,Application Development,Web Frameworks,Gocui,go
gommon/color,Utility Libraries,General Utilities,Gommon/color,go
gookit/color,Utility Libraries,General Utilities,Gookit/color,go
lipgloss,Application Development,Component Models,Lipgloss,go
marker,Utility Libraries,General Utilities,Marker,go
mpb,Utility Libraries,General Utilities,Mpb,go
progressbar,Observability,Metrics,Progressbar,go
group_id,category,subcategory,framework,ecosystem
pterm,Utility Libraries,General Utilities,Pterm,go
simpletable,Utility Libraries,General Utilities,Simpletable,go
spinner,Utility Libraries,General Utilities,Spinner,go
tabby,Utility Libraries,General Utilities,Tabby,go
table,Utility Libraries,General Utilities,Table,go
termbox,Utility Libraries,General Utilities,Termbox,go
termdash,Utility Libraries,General Utilities,Termdash,go
termenv,Utility Libraries,General Utilities,Termenv,go
termui,Utility Libraries,General Utilities,Termui,go
uilive,Utility Libraries,General Utilities,Uilive,go
uiprogress,Utility Libraries,General Utilities,Uiprogress,go
uitable,Utility Libraries,General Utilities,Uitable,go
yacspin,Utility Libraries,General Utilities,Yacspin,go
acmd,Developer Tooling,Local Development Runtimes,Acmd,go
argparse,Developer Tooling,Local Development Runtimes,Argparse,go
argv,Developer Tooling,Local Development Runtimes,Argv,go
carapace,Developer Tooling,Local Development Runtimes,Carapace,go
climax,Developer Tooling,Local Development Runtimes,Climax,go
clîr,Developer Tooling,Local Development Runtimes,Clîr,go
cmd,Developer Tooling,Local Development Runtimes,Cmd,go
cmdr,Developer Tooling,Local Development Runtimes,Cmdr,go
cobra,Developer Tooling,Local Development Runtimes,Cobra,go
command,Developer Tooling,Local Development Runtimes,Command,go
commandeer,Developer Tooling,Local Development Runtimes,Commande er,go
complete,Developer Tooling,Local Development Runtimes,Complete,go
console Closed,Developer Tooling,Local Development Runtimes,Console Closed,go
Dnote,Developer Tooling,Local Development Runtimes,Dnote,go
elvish,Developer Tooling,Local Development Runtimes,Elvish,go
env,Developer Tooling,Local Development Runtimes,Env,go
flaggy,Developer Tooling,Local Development Runtimes,Flaggy,go
flagvar,Developer Tooling,Local Development Runtimes,Flagvar,go
getopt,Developer Tooling,Local Development Runtimes,Getopt,go
gocmd,Developer Tooling,Local Development Runtimes,Gocmd,go
hashicorp/cli,Developer Tooling,Local Development Runtimes,Hashicorp/cli,go
hiboot cli,Developer Tooling,Local Development Runtimes,Hiboot cli,go
job,Developer Tooling,Local Development Runtimes,Job,go
kingpin,Developer Tooling,Local Development Runtimes,Kingpin,go
liner,Developer Tooling,Local Development Runtimes,Liner,go
mcli,Developer Tooling,Local Development Runtimes,Mcli,go
mkideal/cli,Developer Tooling,Local Development Runtimes,Mkideal/cli,go
mow.cli,Developer Tooling,Local Development Runtimes,Mow.cli,go
ops,Developer Tooling,Local Development Runtimes,Ops,go
pflag,Developer Tooling,Local Development Runtimes,Pflag,go
readline,Developer Tooling,Local Development Runtimes,Readline,go
sand,Developer Tooling,Local Development Runtimes,Sand,go
sflags,Developer Tooling,Local Development Runtimes,Sflags,go
strumt,Developer Tooling,Local Development Runtimes,Strumt,go
subcmd,Developer Tooling,Local Development Runtimes,Subcmd,go
teris,Developer Tooling,Local Development Runtimes,Teris,go
ts,Developer Tooling,Local Development Runtimes,Ts,go
ukautz/clif,Developer Tooling,Local Development Runtimes,Ukautz/clif,go
urfave/cli,Developer Tooling,Local Development Runtimes,Urfave/cli,go
version,Developer Tooling,Local Development Runtimes,Version,go
wlog,Developer Tooling,Local Development Runtimes,Wlog,go
