group_id,artifact_id,category,subcategory,framework,ecosystem
org.apache.apache,,Utility Libraries,General Utilities,Apache Apache,apache
org.apache.aries,,Application Development,Component Models,Apache Aries,apache
org.apache.arrow,,Data Management,Data Lakes,Apache Arrow,apache
org.apache.asterix,,Data Management,NoSQL Databases,Apache Asterix,apache
org.apache.aurora,,Deployment & Runtime Platforms,Orchestration,Apache Aurora,apache
org.apache.avalon,,Application Development,Component Models,Apache Avalon,apache
org.apache.avro,,Serialization,Binary Formats,Apache Avro,apache
org.apache.axis,,Application Integration,RPC & Web Services,Apache Axis,apache
org.apache.axis2,,Application Integration,RPC & Web Services,Apache Axis2,apache
org.apache.bcel,,Utility Libraries,General Utilities,Apache Bcel,apache
org.apache.beam,,Application Integration,ETL & Data Pipelines,Apache Beam,apache
org.apache.beehive,,Application Development,Application Bootstrapping,Apache Beehive,apache
org.apache.bigtop,,Utility Libraries,General Utilities,Apache Bigtop,apache
org.apache.bookkeeper,,Data Management,Batch Processing,Apache Bookkeeper,apache
org.apache.brooklyn,,Deployment & Runtime Platforms,Orchestration,Apache Brooklyn,apache
org.apache.bsf,,Application Development,Language Extensions,Apache Bsf,apache
org.apache.bval,,Application Development,Dependency Injection,Apache Bval,apache
org.apache.cactus,,Testing & Quality,Testing Frameworks,Apache Cactus,apache
org.apache.camel,,Application Integration,Service Integration Frameworks,Apache Camel,apache
org.apache.cassandra,,Data Management,NoSQL Databases,Apache Cassandra,apache
org.apache.cayenne,,Data Management,ORM & Data Access,Apache Cayenne,apache
org.apache.cocoon,,Application Development,Web Frameworks,Apache Cocoon,apache
org.apache.commons,,Utility Libraries,General Utilities,Apache Commons,apache
org.apache.continuum,,Utility Libraries,General Utilities,Apache Continuum,apache
org.apache.cordova,,Application Development,Mobile & Embedded,Apache Cordova,apache
org.apache.cxf,,Application Integration,RPC & Web Services,Apache Cxf,apache
org.apache.daffodil,,Serialization,Schema Management,Apache Daffodil,apache
org.apache.datafu,,Data Management,Data Lakes,Apache Datafu,apache
org.apache.datafusion,,Data Management,Data Warehousing,Apache Datafusion,apache
org.apache.db,,Utility Libraries,General Utilities,Apache Db,apache
org.apache.ddlutils,,Data Management,ORM & Data Access,Apache Ddlutils,apache
org.apache.derby,,Data Management,Relational Databases,Apache Derby,apache
org.apache.directory,,Security,Identity Management,Apache Directory,apache
org.apache.drill,,Data Management,Data Warehousing,Apache Drill,apache
org.apache.droids,,Utility Libraries,General Utilities,Apache Droids,apache
org.apache.empire-db,,Data Management,ORM & Data Access,Apache Empire-db,apache
org.apache.eventmesh,,Application Integration,Event Streaming,Apache Eventmesh,apache
org.apache.excalibur,,Application Development,Component Models,Apache Excalibur,apache
org.apache.falcon,,Data Management,Data Warehousing,Apache Falcon,apache
