group_id,artifact_id,framework,category,subcategory,ecosystem
org.springframework.boot,org.springframework.boot.gradle.plugin,Org.Springframework.Boot.Gradle.Plugin,Developer Tooling,Build Tools,spring
org.springframework.boot,spring-boot,Spring Boot,Developer Tooling,Local Development Runtimes,spring
org.springframework.boot,spring-boot-actuator,Actuator,Utility Libraries,General Utilities,spring
org.springframework.boot,spring-boot-actuator-autoconfigure,Actuator Autoconfigure,Utility Libraries,General Utilities,spring
org.springframework.boot,spring-boot-antlib,Antlib,Utility Libraries,General Utilities,spring
org.springframework.boot,spring-boot-autoconfigure,Autoconfigure,Utility Libraries,General Utilities,spring
org.springframework.boot,spring-boot-autoconfigure-processor,Autoconfigure Processor,Utility Libraries,General Utilities,spring
org.springframework.boot,spring-boot-buildpack-platform,Buildpack Platform,Deployment & Runtime Platforms,Containerization,spring
org.springframework.boot,spring-boot-cli,Cli,Developer Tooling,Local Development Runtimes,spring
org.springframework.boot,spring-boot-configuration-metadata,Configuration Metadata,Developer Tooling,Dependency Management,spring
org.springframework.boot,spring-boot-configuration-processor,Configuration Processor,Developer Tooling,Dependency Management,spring
org.springframework.boot,spring-boot-dependencies,Dependencies,Developer Tooling,Dependency Management,spring
org.springframework.boot,spring-boot-devtools,Devtools,Developer Tooling,Local Development Runtimes,spring
org.springframework.boot,spring-boot-docker-compose,Docker Compose,Deployment & Runtime Platforms,Containerization,spring
org.springframework.boot,spring-boot-gradle-plugin,Gradle Plugin,Developer Tooling,Build Tools,spring
org.springframework.boot,spring-boot-jarmode-tools,Jarmode Tools,Developer Tooling,Local Development Runtimes,spring
org.springframework.boot,spring-boot-loader,Loader,Developer Tooling,Local Development Runtimes,spring
org.springframework.boot,spring-boot-loader-classic,Loader Classic,Developer Tooling,Local Development Runtimes,spring
org.springframework.boot,spring-boot-loader-tools,Loader Tools,Developer Tooling,Local Development Runtimes,spring
org.springframework.boot,spring-boot-maven-plugin,Maven Plugin,Developer Tooling,Build Tools,spring
org.springframework.boot,spring-boot-parent,Parent,Developer Tooling,Dependency Management,spring
org.springframework.boot,spring-boot-properties-migrator,Properties Migrator,Developer Tooling,Dependency Management,spring
org.springframework.boot,spring-boot-starter,Starter,Utility Libraries,General Utilities,spring
