package_name,category,subcategory,framework,ecosystem
chalk,Utility Libraries,General Utilities,Chalk,javascript
request,Application Integration,RPC & Web Services,Request,javascript
commander,Utility Libraries,General Utilities,Commander,javascript
react,Application Development,Web Frameworks,React,javascript
express,Application Development,Web Frameworks,Express,javascript
debug,Utility Libraries,General Utilities,Debug,javascript
async,Utility Libraries,General Utilities,Async,javascript
fs-extra,Utility Libraries,General Utilities,Fs-extra,javascript
moment,Utility Libraries,Date & Time Utilities,Moment,javascript
prop-types,Utility Libraries,General Utilities,Prop-types,javascript
react-dom,Application Development,Web Frameworks,React-dom,javascript
bluebird,Utility Libraries,General Utilities,Bluebird,javascript
underscore,Utility Libraries,Collections & Data Structures,Underscore,javascript
vue,Application Development,Web Frameworks,Vue,javascript
axios,Application Integration,RPC & Web Services,Axios,javascript
tslib,Utility Libraries,General Utilities,Tslib,javascript
mkdirp,Utility Libraries,General Utilities,Mkdirp,javascript
glob,Utility Libraries,General Utilities,Glob,javascript
yargs,Utility Libraries,General Utilities,Yargs,javascript
colors,Utility Libraries,General Utilities,Colors,javascript
inquirer,Utility Libraries,General Utilities,Inquirer,javascript
webpack,Developer Tooling,Build Tools,Webpack,javascript
uuid,Utility Libraries,General Utilities,Uuid,javascript
classnames,Utility Libraries,General Utilities,Classnames,javascript
minimist,Utility Libraries,General Utilities,Minimist,javascript
body-parser,Utility Libraries,General Utilities,Body-parser,javascript
rxjs,Application Development,Reactive Programming,Rxjs,javascript
babel-runtime,Developer Tooling,Build Tools,Babel-runtime,javascript
jquery,Utility Libraries,General Utilities,Jquery,javascript
yeoman-generator,Developer Tooling,Code Generators,Yeoman-generator,javascript
through2,Utility Libraries,General Utilities,Through2,javascript
babel-core,Developer Tooling,Build Tools,Babel-core,javascript
core-js,Utility Libraries,General Utilities,Core-js,javascript
semver,Utility Libraries,General Utilities,Semver,javascript
babel-loader,Developer Tooling,Build Tools,Babel-loader,javascript
cheerio,Utility Libraries,General Utilities,Cheerio,javascript
rimraf,Developer Tooling,Build Tools,Rimraf,javascript
q,Utility Libraries,General Utilities,Q,javascript
eslint,Testing & Quality,Static Analysis,Eslint,javascript
css-loader,Developer Tooling,Build Tools,Css-loader,javascript
shelljs,Developer Tooling,Build Tools,Shelljs,javascript
dotenv,Utility Libraries,Configuration Utilities,Dotenv,javascript
typescript,Developer Tooling,Build Tools,Typescript,javascript
@types/node,Utility Libraries,General Utilities,@types/node,javascript
@angular/core,Application Development,Web Frameworks,@angular/core,javascript
js-yaml,Serialization,JSON & XML,Js-yaml,javascript
style-loader,Developer Tooling,Build Tools,Style-loader,javascript
winston,Observability,Logging,Winston,javascript
@angular/common,Application Development,Web Frameworks,@angular/common,javascript
