group_id,artifact_id,version,description,category,subcategory,framework,ecosystem
org.springframework,framework-docs,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-aop,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-aspects,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-beans,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-context,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-context-indexer,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-context-support,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-core,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-core-test,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-expression,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-framework-bom,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-instrument,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-jdbc,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-jms,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-messaging,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-orm,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-oxm,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-r2dbc,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-test,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-tx,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-web,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-webflux,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-webmvc,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-websocket,7.0.0-M5,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-jcl,6.2.7,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring,5.3.39,,Application Development,Component Models,Spring Framework,spring
org.springframework,framework-api,6.1.10,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-webmvc-portlet,4.3.30.RELEASE,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-instrument-tomcat,4.3.30.RELEASE,,Application Development,Component Models,Spring Framework,spring
org.springframework,springloaded,1.2.8.RELEASE,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-struts,3.2.18.RELEASE,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-tuple,1.0.0.RELEASE,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-tuple-parent,1.0.0.RELEASE,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-asm,3.1.4.RELEASE,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-parent,3.1.4.RELEASE,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-agent,2.5.6.SEC03,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-webmvc-struts,2.5.6.SEC03,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-tomcat-weaver,2.5.6.SEC03,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-binding,1.0.6,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-webflow,1.0.6,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-jdo,2.0.8,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-support,2.0.8,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-jpa,2.0.8,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-jmx,2.0.8,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-mock,2.0.8,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-hibernate3,2.0.8,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-hibernate2,2.0.8,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-toplink,2.0.8,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-dao,2.0.8,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-ibatis,2.0.8,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-jca,2.0.8,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-portlet,2.0.8,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-remoting,2.0.8,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-hibernate,1.2.9,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-beandoc,0.7.1,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-ldap,1.1.2,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-full,1.2.8,,Application Development,Component Models,Spring Framework,spring
org.springframework,spring-ojb,2.0-rc2,,Application Development,Component Models,Spring Framework,spring
org.springframework,beandoc,0.7.0,,Application Development,Component Models,Spring Framework,spring
