group_id,artifact_id,version,description,category,subcategory,framework,ecosystem
org.springframework.boot,org.springframework.boot.gradle.plugin,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot-actuator,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot-actuator-autoconfigure,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot-antlib,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot-autoconfigure,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot-autoconfigure-processor,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot-buildpack-platform,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot-cli,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot-configuration-metadata,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot-configuration-processor,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot-dependencies,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot-devtools,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot-docker-compose,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot-gradle-plugin,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot-jarmode-tools,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot-loader,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot-loader-classic,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot-loader-tools,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
org.springframework.boot,spring-boot-maven-plugin,3.5.0,,Application Development,Application Bootstrapping,Spring Boot,spring
