group_id,category,subcategory,framework,ecosystem
AWS.Logger.Core,,,,dotnet
AWSSDK.CloudWatch,,,,dotnet
AWSSDK.CloudWatchLogs,,,,dotnet
AWSSDK.CognitoIdentityProvider,,,,dotnet
AWSSDK.Core,,,,dotnet
AWSSDK.DynamoDBv2,,,,dotnet
AWSSDK.Extensions.NETCore.Setup,,,,dotnet
AWSSDK.KeyManagementService,,,,dotnet
AWSSDK.Kinesis,,,,dotnet
AWSSDK.Lambda,,,,dotnet
AWSSDK.S3,,,,dotnet
AWSSDK.SQS,,,,dotnet
AWSSDK.SSO,,,,dotnet
AWSSDK.SSOOIDC,,,,dotnet
AWSSDK.SecretsManager,,,,dotnet
AWSSDK.SecurityToken,,,,dotnet
AWSSDK.SimpleEmail,,,,dotnet
AWSSDK.SimpleNotificationService,,,,dotnet
AWSSDK.SimpleSystemsManagement,,,,dotnet
AWSXRayRecorder.Core,,,,dotnet
Amazon.Extensions.Configuration.SystemsManager,,,,dotnet
Amazon.JSII.Runtime,,,,dotnet
Amazon.Lambda.APIGatewayEvents,,,,dotnet
Amazon.Lambda.Core,,,,dotnet
Amazon.Lambda.Logging.AspNetCore,,,,dotnet
Amazon.Lambda.SQSEvents,,,,dotnet
Amazon.Lambda.Serialization.Json,,,,dotnet
Amazon.Lambda.Serialization.SystemTextJson,,,,dotnet
Amazon.Lambda.Tools,,,,dotnet
AngleSharp,,,,dotnet
AngleSharp.Css,,,,dotnet
Antlr,,,,dotnet
Antlr3.Runtime,,,,dotnet
Apache.Avro,,,,dotnet
App.Metrics,,,,dotnet
App.Metrics.Abstractions,,,,dotnet
App.Metrics.AspNetCore.Abstractions,,,,dotnet
App.Metrics.AspNetCore.Core,,,,dotnet
App.Metrics.AspNetCore.Endpoints,,,,dotnet
App.Metrics.AspNetCore.Hosting,,,,dotnet
App.Metrics.Concurrency,,,,dotnet
App.Metrics.Core,,,,dotnet
App.Metrics.Extensions.Configuration,,,,dotnet
App.Metrics.Extensions.DependencyInjection,,,,dotnet
App.Metrics.Formatters.Ascii,,,,dotnet
App.Metrics.Formatters.Json,,,,dotnet
Ardalis.GuardClauses,,,,dotnet
Asp.Versioning.Abstractions,,,,dotnet
Asp.Versioning.Http,,,,dotnet
Asp.Versioning.Mvc,,,,dotnet
Asp.Versioning.Mvc.ApiExplorer,,,,dotnet
AspNetCore.HealthChecks.NpgSql,,,,dotnet
AspNetCore.HealthChecks.Rabbitmq,,,,dotnet
AspNetCore.HealthChecks.Redis,,,,dotnet
AspNetCore.HealthChecks.SqlServer,,,,dotnet
AspNetCore.HealthChecks.UI,,,,dotnet
AspNetCore.HealthChecks.UI.Client,,,,dotnet
AspNetCore.HealthChecks.UI.Core,,,,dotnet
AspNetCore.HealthChecks.Uris,,,,dotnet
AspNetCoreRateLimit,,,,dotnet
Aspose.Cells,,,,dotnet
Aspose.PDF,,,,dotnet
Aspose.Words,,,,dotnet
AutoFixture,,,,dotnet
AutoFixture.AutoMoq,,,,dotnet
AutoFixture.Xunit2,,,,dotnet
AutoMapper,,,,dotnet
AutoMapper.Collection,,,,dotnet
AutoMapper.Extensions.Microsoft.DependencyInjection,,,,dotnet
Autofac,,,,dotnet
Autofac.Extensions.DependencyInjection,,,,dotnet
Autofac.Extras.DynamicProxy,,,,dotnet
Autofac.WebApi2,,,,dotnet
Automatonymous,,,,dotnet
Azure.Core,,,,dotnet
Azure.Core.Amqp,,,,dotnet
Azure.Data.AppConfiguration,,,,dotnet
Azure.Data.Tables,,,,dotnet
Azure.Extensions.AspNetCore.Configuration.Secrets,,,,dotnet
Azure.Identity,,,,dotnet
Azure.Messaging.EventGrid,,,,dotnet
Azure.Messaging.EventHubs,,,,dotnet
Azure.Messaging.ServiceBus,,,,dotnet
Azure.ResourceManager,,,,dotnet
Azure.ResourceManager.AppService,,,,dotnet
Azure.ResourceManager.Compute,,,,dotnet
Azure.ResourceManager.KeyVault,,,,dotnet
Azure.ResourceManager.Monitor,,,,dotnet
Azure.ResourceManager.Network,,,,dotnet
Azure.ResourceManager.ServiceBus,,,,dotnet
Azure.ResourceManager.Sql,,,,dotnet
Azure.ResourceManager.Storage,,,,dotnet
Azure.Search.Documents,,,,dotnet
Azure.Security.KeyVault.Certificates,,,,dotnet
Azure.Security.KeyVault.Keys,,,,dotnet
Azure.Security.KeyVault.Secrets,,,,dotnet
Azure.Storage.Blobs,,,,dotnet
Azure.Storage.Common,,,,dotnet
Azure.Storage.Files.Shares,,,,dotnet
Azure.Storage.Queues,,,,dotnet
BCrypt.Net-Next,,,,dotnet
Ben.Demystifier,,,,dotnet
BenchmarkDotNet,,,,dotnet
BenchmarkDotNet.Annotations,,,,dotnet
BoDi,,,,dotnet
Bogus,,,,dotnet
BouncyCastle,,,,dotnet
BouncyCastle.Cryptography,,,,dotnet
BouncyCastle.NetCore,,,,dotnet
Cake.Tool,,,,dotnet
Castle.Core,,,,dotnet
Castle.Core.AsyncInterceptor,,,,dotnet
Castle.Windsor,,,,dotnet
ClosedXML,,,,dotnet
CommandLineParser,,,,dotnet
Common.Logging,,,,dotnet
Common.Logging.Core,,,,dotnet
CommonServiceLocator,,,,dotnet
CompareNETObjects,,,,dotnet
Confluent.Kafka,,,,dotnet
Confluent.SchemaRegistry,,,,dotnet
Constructs,,,,dotnet
Consul,,,,dotnet
Cronos,,,,dotnet
CsvHelper,,,,dotnet
Cucumber.Messages,,,,dotnet
Dapper,,,,dotnet
Dapper.Contrib,,,,dotnet
Datadog.Trace,,,,dotnet
Destructurama.Attributed,,,,dotnet
DiffEngine,,,,dotnet
DistributedLock.Core,,,,dotnet
DnsClient,,,,dotnet
